itemNo,name,price,salePrice,brand
10011639,Nước khoáng thiên nhiên Lavie chai x 350ml,112000.0,89500.0,LA VIE
10011788,Tổ yến nguyên chất chưng sẵn Yến Việt không đường hộp 65ml,255000.0,203000.0,YẾN VIỆT
10011289,Nước ngọt cam sữa Nutri Boost chai 297ml,238000.0,238000.0,NUTRI BOOST
10011290,Nước ngọt hương dâu Nutri Boost chai 297ml,238000.0,238000.0,NUTRI BOOST
10011759,Nước ngọt lon Pepsi 330ml /320ml,234000.0,191000.0,PEPSI
10011223,Nước ép cam Twister Tropicana lon 320ml,240000.0,199000.0,TWISTER
10011482,Nước uống thể thao Aquarius chai 390ml,182000.0,182000.0,AQUARIUS
10638673,Nước uống bổ sung vitamin và khoáng không calo Aquarius chai 390ml,46400.0,38500.0,AQUARIUS
10194857,Ngũ cốc gạo lứt ăn kiêng Xuân An 400g,91200.0,75800.0,XUÂN AN
10224132,Nước dừa xiêm Cocoxim sen hộp 330ml,17200.0,14300.0,COCOXIM
10224133,Nước dừa CoCoXim hương vị dừa xiêm tắc (trái quất) hộp 330ml,17200.0,14300.0,COCOXIM
10150436,Nước dừa đóng hộp Xanh Cocoxim hộp 1L,40800.0,34000.0,COCOXIM
10011213,Nước tăng lực nhân sâm Sting chai 330ml,217000.0,217000.0,STING
10013306,Ngũ Cốc Vinacafé B'fast Canxi 20 gói x25g,68700.0,58600.0,B'FAST
10638663,Trà Oolong không đường Tea+ chai 455ml,58100.0,50000.0,TEA+
10196217,Café Vinacafé 3in1 Gold Original 306g,51000.0,44000.0,VINACAFÉ
10604946,Trà Ô long Tea+ Plus vị chanh chai 455ml,58100.0,50500.0,TEA+
10011217,Nước uống đóng chai Aquafina 1.5 lít,11500.0,10000.0,AQUAFINA
10196078,Trà sữa Nestea đường nâu 8x27g,38300.0,33400.0,NESTEA
10011214,Nước tăng lực Sting hương dâu tây đỏ chai 330ml,246000.0,246000.0,STING
10012865,Trà hương đào Dilmah hộp 30g,45100.0,39400.0,DILMAH
10012867,Trà hương dâu Dilmah hộp 30g,45100.0,39400.0,DILMAH
10013396,Ngũ cốc dinh dưỡng Xuân An bịch 400g,65700.0,57500.0,XUÂN AN
10011287,Nước cam có tép Teppy Minute Maid chai  1 lít,21700.0,19000.0,MINUTE MAID TEPPY
10013015,Cà phê Sáng Tạo số 5 gói 340g,127000.0,113700.0,TRUNG NGUYÊN
10314408,Nước ngọt coca chai 600ml,209000.0,209000.0,COCA-COLA
10194711,Nước Giải Khát Coca-Cola Zero Pet 600ml,9300.0,8400.0,COCA-COLA
10012968,Trà Ô long Tea + Plus chai 455ml,58100.0,52500.0,TEA+
