itemNo,name,price,salePrice,brand
10141748,Hạt nêm Chin Su ngọt thanh gói  400g,34700.0,25500.0,CHIN-SU
10140939,Sốt mayonnaise Simply hương gạo rang chai 230g,40100.0,29700.0,SIMPLY
10140931,Nước mắm Chinsu cá cơm biển đông chai 500ml,103800.0,78000.0,CHIN-SU
10010116,Dầu đậu nành Tường An chai 2L,140400.0,118000.0,TƯỜNG AN
10141747,Tương ớt  Chin Su chai 1kg ,51500.0,43500.0,CHIN-SU
10086862,Tương cà Chin-su chai eo 250g,15100.0,12800.0,CHIN-SU
10010151,Dầu ăn Tường An chai 1 lít,60000.0,50900.0,TƯỜNG AN
10010069,Dầu ăn cao cấp Meizan Gold chai 1 lít,59900.0,51000.0,MEIZAN
10010074, Dầu ăn dinh dưỡng cho bé Kiddy 250ml,53000.0,45500.0,KIDDY
10141975,Nước tương Chin-su Tam Thái Tử cao cấp xào gói 500ml,25500.0,22000.0,CHIN-SU
10141976,Nước tương Chin-su Tam Thái Tử cao cấp ướp kho gói 500ml,25500.0,22000.0,CHIN-SU
10008681,Nước chấm hương cá hồi Chin-su chai 500ml,51300.0,44300.0,CHIN-SU
10600400,Dầu ăn Tường An Gold chai 1L,65100.0,56400.0,TƯỜNG AN
10180487,Dầu Ăn Dinh Dưỡng Cho Trẻ Ranee Kids chai 250ml,72400.0,63100.0,RANEE
10141843,Dầu gạo lứt Light 5 dưỡng chất Tường An chai 1 lít,79000.0,68900.0,TƯỜNG AN
10622822,Dầu đậu nành không biến đổi gen Amur Pearl chai 1L,83600.0,73000.0,AMUR PEARL
10170265,Dầu ăn thượng hạng Neptune Light can 2 lít,140500.0,122700.0,NEPTUNE
10010117,Dầu nành Tường An chai 1L,70200.0,61500.0,TƯỜNG AN
10010071,Dầu ăn cao cấp Meizan Gold chai 5L,279100.0,245700.0,MEIZAN
10141669,Nước tương tỏi ớt Chinsu 330ml,19100.0,16900.0,CHIN-SU
10009041,Hạt nêm Aji-ngon gói 400g,32100.0,28500.0,AJI-NGON
10010158,Dầu mè Tường An chai 400ml,58600.0,52700.0,TƯỜNG AN
10009550,Xốt mayonnaise Aji-mayo chai 260g,40500.0,37200.0,AJI-MAYO
10141941,Sốt  Aij - Mayo mayoinaise ngọtdịu 260g,40500.0,37200.0,AJI-MAYO
10405276,Dầu gạo nguyên chất Simply chai 2L,154800.0,142200.0,SIMPLY
10141889,Dầu hào chay Maggi từ nấm hương chai 820g,61500.0,56500.0,MAGGI
10401819,Đường vàng Biên Hòa thiên nhiên 1kg,34100.0,31700.0,BIÊN HÒA
10627913,Đường đen nữ hoàng Biên Hòa gói 1kg,54500.0,50700.0,BIÊN HÒA
10181128,Đường Organic T.SU Special Biên Hòa 400g,41000.0,38200.0,BIÊN HÒA
10181127,Đường phèn hạt thiên nhiên Biên Hòa gói 500g,41000.0,38300.0,BIÊN HÒA
10009243,Đường mía thượng hạng Biên Hòa gói 1kg,30500.0,28800.0,BIÊN HÒA
10270074,Đường túi Biên Hòa Pure 1kg,30300.0,28700.0,BIÊN HÒA
10170269,Hạt nêm Neptune 4 trong 1 - heo 850g,78700.0,75500.0,NEPTUNE
10010075,Dầu đậu nành Meizan chai 1L,61100.0,58900.0,MEIZAN
10638531,Đường tinh luyện VinMart Good gói 500g,15500.0,15100.0,VMGOOD
10638532,Đường tinh luyện VinMart Good gói 1kg,27500.0,26800.0,VMGOOD
10009002,Nước mắm 584 Nha Trang chai thủy tinh 35gn/l 500ml,61100.0,61100.0,584 NHA TRANG
10009582,Bột Vianco Cary 10g,5000.0,5000.0,VIANCO
10010079,Dầu ăn hảo hạng Cái Lân chai 1L,52000.0,52000.0,CÁI LÂN
10010164,Dầu thực vật tinh Tường An Olita chai 1L,53000.0,53000.0,TƯỜNG AN
10141649,Hộp quà Nước mắm Nam Ngư cao cấp 500ml,130000.0,130000.0,NAM NGƯ
10141653,Đường tinh luyện WinMart Good 500g,15500.0,15500.0,WINMART GOOD
10141654,Đường tinh luyện WinMart Good 1 Kg,27500.0,27500.0,WINMART GOOD
10141656,Đường trắng  WinMart Good 1 Kg,22000.0,22000.0,WINMART GOOD
10141801,Mù tạt Wasabi Miwon cay mạnh 35g,26200.0,26200.0,MIWON
10141894,Sốt gà rán Bibigo HQ 120g,20400.0,20400.0,BIBIGO
10142007,Sốt Teriyaki Miwon 250g,30000.0,30000.0,MIWON
10142009,Sốt me hoàn chỉnh Miwon 250g,30000.0,30000.0,MIWON
10142010,Sốt chấm thịt nướng Miwon Hàn Quốc 250g,32800.0,32800.0,MIWON
10142011,Sốt lẩu Kim Chi MiWon 180g,25600.0,25600.0,MIWON
10142013,Nước mắm ngon Knorr nguyên bản 500ml,117000.0,117000.0,KNORR
10180838,Bột gia vị DH Foods ngũ vị hương 10g,4700.0,4700.0,DH FOODS
10624958,Nước mắm Premium  Maggi 490ml,72400.0,72400.0,MAGGI
10007248,Mật ong rừng U Minh Viethoney chai 700g,102000.0,102000.0,VIETHONEY
10007249,Mật ong Viethoney chai 300g,47000.0,47000.0,VIETHONEY
10007250,"Mật ông hoa rừng Vinabee chai 1,4kg",171600.0,171600.0,VINABEE
10007251,Mật ong hoa rừng Vinabee chai 1kg,122100.0,122100.0,VINABEE
10007260,Mật ong sữa chúa Vinabee chai 900g,136400.0,136400.0,VINABEE
10007556,Mật ong rừng sữa ong chúa Xuân Nguyên chai 200ml,118000.0,118000.0,XUÂN NGUYÊN
10008112,Nước mắm cá cơm Phú Quốc Hồng Hạnh chai 650ml,100100.0,100100.0,HỒNG HẠNH
10008529,Xốt cà chua thịt bò băm Barilla lọ 400g,146600.0,146600.0,BARILLA
10008530,Xốt mì Napoletana Barilla lọ 400g,121200.0,121200.0,BARILLA
10008531,Xốt Basilico Barilla lọ 400g,121200.0,121200.0,BARILLA
10008532,Xốt mì ô liu Barilla lọ 400g,148700.0,148700.0,BARILLA
10008533,Sốt Arrabbiata Barilla lọ 400g,121200.0,121200.0,BARILLA
10008535,Sốt ớt đỏ Tabasco hộp 60ml,69100.0,69100.0,TABASCO
10008538,Nước tương Fragrance Kikkoman đặc biệt chai 600ml,111500.0,111500.0,KIKKOMAN
10008539,Nước tương Sushi & Sashimi Kikkoman chai 150ml,93000.0,93000.0,KIKKOMAN
10008542,Nước tương Kikkoman chai 150ml,87700.0,87700.0,KIKKOMAN
10008543,Nước tương Kikkoman chai 250ml,99900.0,99900.0,KIKKOMAN
10008562,Bột ngọt (mì chính) Miwon gói 454g,35600.0,35600.0,MIWON
10008566,Bột ngọt (mì chính) Miwon gói 1kg,74800.0,74800.0,MIWON
10008567,Bột ngọt mì Miwon chính) gói 2kg,149800.0,149800.0,MIWON
10008568,Bột ngọt (mì chính) Miwon gói 2kg,130600.0,130600.0,MIWON
10008575,Gia vị hoàn hảo thịt kho tàu Miwon 30g,7400.0,7400.0,MIWON
10008586,Xốt Mayonnaise Kewpie Vị Nhật 130g,24100.0,24100.0,KEWPIE
10008587,Sốt mayonnaise Kewpie hương vị Nhật gói 300g,44000.0,44000.0,KEWPIE
10008588,Sốt mayonnaise Kewpie chai 130g,24100.0,24100.0,KEWPIE
10008589,Sốt mayonnaise Kewpie gói 300g,44000.0,44000.0,KEWPIE
10008592,Nước sốt mè rang Kewpie chai 210ml,61300.0,61300.0,KEWPIE
10008593,Nước xốt mè rang Kewpie chai 1 lít,185100.0,185100.0,KEWPIE
10008594,Nước xốt tương mè Kewpie chai 210ml,59400.0,59400.0,KEWPIE
10008596,Bột ngọt (mì chính) Ajinomoto 140g,11900.0,11900.0,AJINOMOTO
10008597,Bột ngọt (mì chính) Ajinomoto 400g,33500.0,33500.0,AJINOMOTO
10008598,Bột ngọt (mì chính) Ajinomoto gói 454g,35200.0,35200.0,AJINOMOTO
10008599,Bột ngọt (mì chính) Ajinomoto gói 1kg,71300.0,71300.0,AJINOMOTO
10008600,"Bột ngọt (mì chính) Ajinomoto gói 1,8kg",131400.0,131400.0,AJINOMOTO
10008601,Bột ngọt (mì chính) Ajinomoto 2kg,125300.0,125300.0,AJINOMOTO
10008603,Mì chính Ajinomoto Plus gói 1kg ,100900.0,100900.0,AJINOMOTO
10008607,Xốt mayonnaise Aji-mayo tuýp 130g,22200.0,22200.0,AJI-MAYO
